userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
odddr,2021.05.29,1933622,0,1, 163cm, 53kg,none,['다크그레이 색상이라고 했는데 받아보면 진한 카키에 가깝습니다! 품이 매우 커서 사이즈 구애받지 않고 다 입으실 수 있을거 같아요! 허리끈이 따로 있어서 다양하게 스타일링 할 수 있어 좋네요!'],https://image.msscdn.net/data/estimate/1933622_0/gallery_60b1938c197fa.jpg.view,1,1,2,2,0,0,0,0,0
odddr,2021.05.29,1933622,0,1, 163cm, 53kg,none,"['여름에 편하게 입기 좋을것 같아요!', <br/>, '생각보다 많이 파여서 조심해야ㅎㅐ요ㅠㅠ', <br/>, '앞뒤가 언발란스한 기장때문에 심심하지 않아 좋네요!']",,0,1,2,2,0,0,0,0,0
odddr,2021.05.29,1933622,0,1, 163cm, 53kg,none,['색상 참고해주세요- 다크그레이보다는 진한 카키에 가깝습니다! 전 오히려 카키빛도는 색상이 더 좋네요 :) 구김이 잘가용'],https://image.msscdn.net/data/estimate/1933622_0/gallery_60b193de665da.jpg.view,0,1,2,2,0,0,0,0,0
뉴비_a7b53dc7,2022.02.25,2297184,0,1, 160cm, 55kg,M,"['길이감 좋고 스타일 꾸안꾸느낌', <br/>, '빨리 날 좋아지면 입고싶음', <br/>, '넉넉하게 나왔으나 퍼져보이지않음']",https://image.msscdn.net/data/estimate/2297184_0/gallery_6218870eef346.jpg.view,1,2,2,2,0,0,0,0,0
뉴비_a7b53dc7,2022.02.25,2297184,0,1, 160cm, 55kg,M,"['여유있게 입으려고 M사이즈 구매', <br/>, '나그랑이라 어깨 안넓어보이고 좋음', <br/>, '트임이 생각보다 과하지않아 활동하기 편함']",,0,2,2,2,0,0,0,0,0
YnSUGA,2022.02.22,2297184,0,1, 152cm, 58kg,S,['봄 신상이라 그런가 확실히 얇아요. 키가 작은 편이라 기장 수선해서 입어야 할 것 같아요. 디자인 귀여워서 마음에 듭니다.'],,0,2,2,2,0,0,0,0,0
짜요짜요0,2022.02.16,2297184,0,1, 156cm, 47kg,S,['156기준으로 복숭아뼈 위로 5센티?정도 길이인거같아요'],,0,2,2,2,0,0,0,0,0
브론즈_7741d9f9237,2022.02.07,2297184,0,1, 160cm, 55kg,XS,['질이 정말 좋은데 잠옷 같아요 그치만 휘뚜루 마뚜루 입기는 좋습니당'],,0,2,1,1,0,0,0,0,0
나는야 후후후후,2022.01.25,2297184,0,1, 164cm, 59kg,S,['사이즈는 S고 기장은 정강이 정도에 와요. 모델 기장 정도에요. 롱원피스는 온라인으로는 처음 사보는데 성공적인 것 같네요.예뻐요 ㅎ'],,0,2,2,1,0,0,0,0,0
뉴비_a7b53dc7,2022.02.25,2297184,0,1, 160cm, 55kg,M,"['일단 소재가 너무좋음 ', <br/>, '세탁해도 변형이 없을듯함', <br/>, '블랙도 사고싶음']",https://image.msscdn.net/data/estimate/2297184_0/gallery_6218874205bfd.jpg.view,0,2,2,2,0,0,0,0,0
아아아ㅏ아아아아ㅏ아아,2022.03.07,1771393,0,1, 165cm, 45kg,MINT/FREE,['세일해서 구매했는데 세일가격 정도면 딱 괜찮은 것 같아요'],https://image.msscdn.net/data/estimate/1771393_0/gallery_6224c658c4f4c.jpg.view,1,2,2,2,0,0,0,0,0
쑤우기,2021.07.16,1771393,0,1, 166cm, 58kg,MINT/FREE,['여름원피스가 너무 맘에들어서 가을원피스도 미리구매했어요~~소재도 탄탄하고 편안하면서도 뚱뚱하게보이거나 잠옷같지않아서 맘에드네요!!'],https://image.msscdn.net/data/estimate/1771393_0/gallery_60f1584addcf0.jpg.view,1,2,2,1,0,0,0,0,0
아아아ㅏ아아아아ㅏ아아,2022.03.07,1771393,0,1, 165cm, 45kg,MINT/FREE,['세일해서 구매했는데 세일가격 정도면 딱 괜찮은 것 같아요'],,0,2,2,2,0,0,0,0,0
뉴비_e247f20d4073,2022.03.04,1771393,0,1, 160cm, 55kg,MINT/FREE,['편하게 입을수있겠어요.재질도 탄탄하고 무난하고 이쁘네요.'],,0,2,2,2,0,0,0,0,0
진조z,2022.02.17,1771393,0,1, 167cm, 51kg,MELANGEGREY/FREE,['사이즈랑 디자인 색상 모두 만족해요 재질도 좋구 세일기간에 싸게 구입하여 좋아요'],,0,2,2,1,0,0,0,0,0
소히히히히힣,2021.05.24,1771393,0,1, 163cm, 48kg,MINT/FREE,['사이즈도 넉넉하고 두께도 적당하고 넘 편해서 좋네요'],,0,2,2,2,0,0,0,0,0
뉴비_97aaa1343fcd,2021.08.07,1771393,0,1, 159cm, 55kg,MELANGEGREY/FREE,"['넉넉하니 질도좋고', <br/>, '할인해서 잘샀ㅇㅓ요 ', <br/>, '제키에 롱해서 전ㄷㅓ 좋아요']",https://image.msscdn.net/data/estimate/1771393_0/gallery_610e81b7ccb6b.jpg.view,0,2,1,2,0,0,0,0,0
루키_725092f336da,2022.02.27,2055933,0,1, 161cm, 42kg,FREE,['옷 진짜 개이뻐여 치마 길이도 조절 할 수 있고 색도 아이보리? 진짜 이쁨'],https://image.msscdn.net/data/estimate/2055933_0/gallery_621a51e44dd29.jpg.view,1,2,2,2,0,0,0,0,0
포엘하트,2021.09.21,2055933,0,1, 150cm, 42kg,FREE,['쭈리면이고 캐주얼한 느낌이 예쁘고 편해요! 스트링이 있어서 체형에 맞춰 조절할 수 있어서 좋아요.'],https://image.msscdn.net/data/estimate/2055933_0/gallery_6148d54e36b8c.jpg.view,1,2,2,2,0,0,0,0,0
문언니다,2022.01.02,2055933,0,1, 162cm, 52kg,FREE,['건조기자주돌렸더니 좀 줄어들긴했지만 옷은 도톰하고 예뻐요'],,0,2,2,2,0,0,0,0,0
포엘하트,2021.08.30,2055933,0,1, 150cm, 42kg,FREE,['사이즈 넉넉한데 스트링으로 조절할 수 있어서 좋아요! 쭈리 소재라서 편하게 입기 좋아요!'],,0,2,2,2,0,0,0,0,0
