userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
쿠쿠루삥뿡뺭삥뿡,2022.03.16,2396362,1,0, 169cm, 62kg,M,"['팔목, 밑단 시보리 디테일부터 시작해서 가격값 이상 하는 옷은 올해들어 처음 사보는것 같습니다 너무만족합니다']",https://image.msscdn.net/data/estimate/2396362_0/gallery_62314e216f59f.jpg.view,1,2,2,2,2,0,0,0,0
ㅋㅌㅊㅊ,2022.03.16,2345799,0,1, 167cm, 54kg,S,"['엄청 싸게 사서 좋아요! 엉덩이 약간 덮는 기장이에요 근데 로고 프린팅 상태가 별로 좋아보이진 않아요ㅠ', <br/>, '아페쎄 티셔츠는 다 얇고 목이 엄청 잘 늘어다는데도 예뻐서 또 사버렸네요']",,0,2,2,2,3,0,0,0,0
머싯는현기,2021.12.19,2154048,1,0, 178cm, 67kg,L,['조금 까끌한거 빼고는 로고 너무 이쁘고 원단도 탄탄한 니트네요?'],https://image.msscdn.net/data/estimate/2154048_0/gallery_61be9baab38c0.jpg.view,1,2,2,2,1,0,2,0,0
망치*-*,2021.11.10,2154048,1,0, 184cm, 65kg,XL,['너무이뻐요!지인선물로사줬는데좋아합니다!또사러올게요'],https://image.msscdn.net/data/estimate/2154048_0/gallery_618b3bbca7d05.jpg.view,1,2,2,2,2,0,2,0,0
8냥냥집사,2021.10.19,2154048,1,0, 172cm, 68kg,L,['컬러 톤이 중간정도 되는거같아서 밝은색이나 어두운색 어떤 팬츠를 골라도 소화하기 쉬운 제품 ㅎ 프린팅도 너무 귀여워요'],https://image.msscdn.net/data/estimate/2154048_0/gallery_616e7033275d8.jpg.view,1,2,3,2,2,0,2,0,0
환87,2022.01.06,2154048,1,0, 182cm, 75kg,XL,['런닝맨에서 유재석님이 입으신것 보고 와이프가 예쁘다고 해서 같이 입으려고 샀는데 배송도 빠르고 디자인이 너무 예뻐여'],,0,2,2,2,2,0,3,0,0
머싯는현기,2021.12.14,2154048,1,0, 178cm, 67kg,L,['로고 너무 귀엽고 큰 맘 먹고 샀는데 대만족입니다!'],,0,2,2,2,1,0,2,0,0
통조림23,2021.11.16,2154048,0,1, 167cm, 63kg,M,['매치해서 입기 무난하고 편합니다 예쁘네요 추천'],,0,2,2,2,2,0,2,0,0
망치*-*,2021.11.10,2154048,1,0, 184cm, 65kg,XL,['다른색상샀다가이색상사서지인선물로줬어요!이쁘다고난리입니다'],,0,2,2,2,2,0,2,0,0
8냥냥집사,2021.10.15,2154048,1,0, 172cm, 68kg,L,['남자 100입는데 딱 정사이즈인거같아요. m시켯으면 큰일날뻔'],,0,2,3,2,2,0,2,0,0
