userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,review_img,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
뉴비_8e8c2e52077b,2021.09.18,1766979,1,0, 180cm, 61kg,L,"['제가 어두운 옷보단 밝은 옷을 좋아하는데 ', <br/>, '너무 밝지도 않고 딱 적당합니다.', <br/>, <br/>, '안 두꺼운데 얇은 편이라 가을과 봄에 입으면 딱 좋고', <br/>, <br/>, '교복같은 무슨 옷이던 잘 어울려서 더 좋은거 같아요.', <br/>, <br/>, '디자인이 과하고 좀 튈거라 생각했는데 ', <br/>, '과하지 않고 깔끔해요.', <br/>, <br/>, '단점은 핏이 조금 깔끔하지 못할때도 있어요.']",https://image.msscdn.net/data/estimate/1766979_0/gallery_61457e7ed9771.jpg.view,2,1,2,2,0,0,0,0
mmd99,2021.12.10,1549580,1,0, 178cm, 90kg,FREE,['이뻐요 따듯해요 네이비 색상도 꼭 사고싶네요 굿굳!'],https://image.msscdn.net/data/estimate/1549580_0/gallery_61b31e3967feb.jpg.view,1,1,1,1,0,1,0,0
예스그리스도,2021.11.20,1549580,1,0, 177cm, 68kg,FREE,['아이보리색은 남자보단 여자들한테 인기많고 잘어울릴거같네요'],https://image.msscdn.net/data/estimate/1549580_0/gallery_6198ff71c68dc.jpg.view,2,2,2,2,0,2,0,0
두힠,2021.11.17,1549580,0,1, 162cm, 62kg,FREE,"['멀리서보면 아이보리', <br/>, '가까이서 보면 오팔? 오로라색', <br/>, '촤르륵 떨어지는 부드러운 오버핏 가디건', <br/>, '아조 니트계 중 질감 최고임..', <br/>, '작년에 네이비 사고 아이보리도 살 걸하고 후회했다가', <br/>, '이번 재판매 기회로 살 수 있어 행복했음♡']",https://image.msscdn.net/data/estimate/1549580_0/gallery_6193fc65271a5.jpg.view,1,1,1,2,0,1,0,0
yghovy,2020.12.24,1549580,1,0, 176cm, 62kg,FREE,"['색감 너무 이쁘고 개성있어요', <br/>, '핏은 딱 이쁜 가오리핏입니다']",https://image.msscdn.net/data/estimate/1549580_0/gallery_5fe44e64997ec.jpg.view,2,2,2,2,0,1,0,0
산내,2020.11.30,1549580,0,1, 160cm, 50kg,FREE,['예뻐요..그리고 생각보다많이 커요 기장이나 품은 박시한거 좋아해서 딱인데 팔이 긴팔원숭이됨.. 니트라서 수선할수도 없음ㅠ 눈물이 앞을가리지만 예뻐서 품고가는중'],https://image.msscdn.net/data/estimate/1549580_0/gallery_5fc3e58d6d4ac.jpg.view,1,2,2,2,0,2,0,0
Dk dar,2022.02.20,1549580,1,0, 177cm, 72kg,FREE,['막상 받아보면 펄 끼가 있네여 그래도 핏은 오버하게 입기 정말 좋아요'],,1,1,2,2,0,2,0,0
예스그리스도,2021.11.20,1549580,1,0, 177cm, 68kg,FREE,['네이비하고 같이 구매했는데 너무 만족합니다 잘입을게요'],,2,2,2,2,0,2,0,0
두힠,2021.11.17,1549580,0,1, 162cm, 62kg,FREE,"['멀리서보면 아이보리', <br/>, '가까이서 보면 오팔? 오로라색', <br/>, '촤르륵 떨어지는 부드러운 오버핏 가디건', <br/>, '아조 니트계 중 질감 최고임..', <br/>, '큼직한 오버핏이라', <br/>, '날 추울 땐 아무 자켓 위에 레이어드 편하게 가능', <br/>, '활용도 정말 좋음']",,1,1,1,2,0,1,0,0
르메르메르,2021.05.19,1549580,1,0, 170cm, 65kg,FREE,['오버한 핏이 너무예쁘네요! 자주손이가요ㅎㅎ 네이비 색상도 사고싶은대  품절이라  아쉬워요 ㅠ'],,1,2,2,2,0,2,0,0
두더지포,2021.03.22,1549580,1,0, 182cm, 70kg,FREE,['색감이 표현이안되어있는데 되게 여러가지색이섞여잇어요 멀리서보면 걍 아이보리인데 가까이서보면 여러색입니다 되게커요!'],,1,1,3,1,0,1,0,0
n.avy,2021.01.02,1549580,1,0, 175cm, 67kg,FREE,"['오버사이즈 가디건이 필요해서 구매했는데 무슨 말이 필요하겠습니까, 아조바이아조 사랑합니다ㅎㅎ']",,1,2,1,1,0,1,0,0
세계최고다나,2020.12.29,1549580,1,0, 183cm, 68kg,FREE,['색감 화면에서 보던 것 보다는 이쁘고 핏도 오짐.최고'],,1,2,2,2,0,2,0,0
산내,2020.11.30,1549580,0,1, 160cm, 50kg,FREE,['예뻐요..그리고 생각보다많이 커요 기장이나 품은 박시한거 좋아해서 딱인데 팔이 긴팔원숭이됨.. 니트라서 수선할수도 없음ㅠ 눈물이 앞을가리지만 예뻐서 품고가는중'],,1,2,2,2,0,2,0,0
范丞丞,2020.10.17,1549580,0,1, 167cm, 44kg,FREE,['입었을 때 뒤에가 좀 뜨는 것만 빼면 예뻐요 두툼해서 따뜻하구용'],,2,2,3,1,0,2,0,0
예스그리스도,2021.11.20,1549580,1,0, 177cm, 68kg,FREE,['사진으로는 몰랐는데 실물받아보니까 레인보우색으로 반짝 거리면서 빛나네요'],https://image.msscdn.net/data/estimate/1549580_0/gallery_6198ff4336baa.jpg.view,2,2,2,2,0,2,0,0
두힠,2021.11.17,1549580,0,1, 162cm, 62kg,FREE,"['멀리서보면 아이보리', <br/>, '가까이서 보면 오팔? 오로라색', <br/>, '촤르륵 떨어지는 부드러운 오버핏 가디건', <br/>, '아조 니트계 중 질감 최고임..', <br/>, '작년에 네이비 사고 아이보리도 살 걸하고 후회했다가', <br/>, '이번 재판매 기회로 살 수 있어 행복했음♡']",https://image.msscdn.net/data/estimate/1549580_0/gallery_619492e5daaed.jpg.view,1,1,1,2,0,1,0,0
두더지포,2021.03.22,1549580,1,0, 182cm, 70kg,FREE,"['후드랑 같이샀는데 올해초부터 되게잘입었어여 ㅎ', <br/>, '색감이 레인보우입니다사실은']",https://image.msscdn.net/data/estimate/1549580_0/gallery_6057a0076f7c5.jpg.view,1,1,3,1,0,1,0,0
세계최고다나,2020.12.29,1549580,1,0, 183cm, 68kg,FREE,['색감 화면에서 보는것보다 이쁘고 핏이 너무 오짐! 최고'],https://image.msscdn.net/data/estimate/1549580_0/gallery_5feb1d7a18393.jpg.view,1,2,2,2,0,2,0,0
산내,2020.12.02,1549580,0,1, 160cm, 50kg,FREE,['예뻐요..그리고 생각보다많이 커요 기장이나 품은 박시한거 좋아해서 딱인데 팔이 긴팔원숭이됨.. 니트라서 수선할수도 없음ㅠ 눈물이 앞을가리지만 예뻐서 품고가는중'],https://image.msscdn.net/data/estimate/1549580_0/gallery_5fc65da32a18a.jpg.view,1,2,2,2,0,2,0,0
,2020.10.13,1549580,0,0, 166cm, 54kg,FREE,['아 이쁘다 사진에 비해 좀 더 알록달록한 색이다 근데 이쁘네 사이즈 널널해서 좋다 어깨 선 딱 내려가서 이쁘다 오래 입을 거에요..'],https://image.msscdn.net/data/estimate/1549580_0/gallery_5f8566db656a4.jpg.view,1,3,1,1,0,1,0,0
프리덤소울,2022.02.24,1334716,1,0, 187cm, 84kg,XL,['적당한 두께이고 187한테도 넉넉한 핏입니다'],https://image.msscdn.net/data/estimate/1334716_0/gallery_62165d628809f.jpg.view,2,2,2,2,0,0,0,0
프리덤소울,2022.02.24,1334716,1,0, 187cm, 84kg,XL,['모델컷보다 살짝 어두운 느낌인데 거의 비슷한 색입니다. 다양한 색으로 계속 출시됐으면 좋겠어요.'],,2,2,2,2,0,0,0,0
프리덤소울,2022.02.24,1334716,1,0, 187cm, 84kg,XL,['워싱된 느낌의 색상 좋고 핏도 좋습니다. 모델컷보다 살짝 어두운 느낌입니다.'],https://image.msscdn.net/data/estimate/1334716_0/gallery_62165df8901ee.jpg.view,2,2,2,2,0,0,0,0
sepman,2021.04.28,1811238,1,0, 177cm, 78kg,M,['좀 크네요 제가 좀 왜배엽이라서 왜때리세엽 되따 크네요 ㅠ 좀 모욕적임;; 하지만 만족하시겠습니까'],https://image.msscdn.net/data/estimate/1811238_0/gallery_608186363b024.jpg.view,1,2,3,1,0,0,0,0
최영준이,2021.03.26,1811238,1,0, 177cm, 75kg,L,['딱 잘맞네요 재질도 너무 좋고 핏도 너무이쁩니다.'],https://image.msscdn.net/data/estimate/1811238_0/gallery_605d7393810a5.jpg.view,2,2,2,2,0,0,0,0
라피스로이드,2021.06.19,1811238,1,0, 169cm, 65kg,M,"['소재 특성상 약간 뻣뻣하면서 캐주얼한 느낌이 강합니다', <br/>, '몸을 감싸며 쭉 떨어지는 느낌을 원하신다면 그와는 거리감 있는 제품이니 참고하세요', <br/>, '전반적인 퀄리티는 맘에 듭니다']",,2,2,2,2,0,0,0,0
뉴비_a942fd12,2021.03.31,1811238,1,0, 175cm, 67kg,M,['검정색 구매후 이색도 구매했는데 맘에 듭니다 잘입을께요'],,2,2,1,2,0,0,0,0
최영준이,2021.03.26,1811238,1,0, 177cm, 75kg,L,['딱 잘맞네요 재질도 너무 좋고 핏도 너무이쁩니다.'],,2,2,2,2,0,0,0,0
석우고,2021.03.12,1811238,1,0, 184cm, 88kg,XL,"['와 프리즘웍스 진짜 ㅡㅡ', <br/>, '매번 옷이 너무 이뻐요..내 월급 루팡ㅠ..착샷은 데이트 나갈때 올려야겠어요  저는 떡대가 살짝있는데요', <br/>, 'L사이즈는 너무 작을거고 XL는 살짝 오버핏?']",,1,1,1,2,0,0,0,0
뉴비_a942fd12,2021.03.31,1811238,1,0, 175cm, 67kg,M,['조금 어둡게 나왔는데 모델이 입은거랑 완전 같은색이라 생각하시면 됩니다'],https://image.msscdn.net/data/estimate/1811238_0/gallery_60633e1117b68.jpg.view,2,2,1,2,0,0,0,0
최영준이,2021.03.26,1811238,1,0, 177cm, 75kg,L,['딱 잘맞네요 재질도 너무 좋고 핏도 너무이쁩니다.'],https://image.msscdn.net/data/estimate/1811238_0/gallery_605d73a8942e5.jpg.view,2,2,2,2,0,0,0,0
꽁기깅강꽁기깅깅강꽁기깅강공,2022.02.17,2321774,1,0, 174cm, 67kg,M,['타임세일로 반값하길래 후다닥 사봤어요. 오버핏으로 입기 무난한것 같아요. 너무 쪼매면 옆구리가 ( ) 아니면 < > 되니깐 적당히 걸치는 느낌으로 입으면 될 것 같아요'],https://image.msscdn.net/data/estimate/2321774_0/gallery_620cec9a88ef7.jpg.view,2,2,2,2,0,2,0,0
nammong,2022.03.14,2321774,1,0, 176cm, 76kg,L,['평소 오버핏을 선호하는 편이라 상당히 좋았습니다'],,2,2,2,2,0,1,0,0
날아라숏,2022.03.13,2321774,1,0, 174cm, 77kg,L,"['대만족합니다.', <br/>, '더워질 때 까지 계속 입을 수 있을 것 같아요.']",,1,2,2,2,0,1,0,0
03박승진,2022.03.12,2321774,1,0, 183cm, 67kg,L,"['정말로 딱 좋네요 너무 마음에 들고', <br/>, '사이즈도 적당하고 걸쳐입어도 좋아요']",,2,2,2,2,0,2,0,0
두식킴,2022.03.05,2321774,1,0, 176cm, 73kg,L,['다른 후기들 보면 생각보다 다들 두껍다고하시는데 그리막 두껍진않고 딱 적당한 정도..?입니다'],,2,2,2,2,0,2,0,0
샤샥삭,2022.03.02,2321774,1,0, 169cm, 73kg,M,['와이드 팬츠가 원래 있어서 같이 입으려고 구매했습니다~ 편하게 입기 좋네요'],,2,2,2,2,0,2,0,0
이상혁옷사기,2022.02.28,2321774,1,0, 172cm, 62kg,M,['좋긴합니다 잘입겠습니다 안에 검은색 이너가 잘어울리넹ㅎ'],,2,2,2,2,0,2,0,0
빈마루,2022.02.24,2321774,1,0, 171cm, 68kg,M,['옷이생각보다  많이크네요 오버핏 좋아하시는 분들은 좋아하실듯'],,1,2,2,2,0,2,0,0
뉴비_8d7911cc,2022.02.22,2321774,1,0, 182cm, 85kg,L,"['팔이 살짝 짧은 느낌은 있지만', <br/>, '사이즈 적당하고 예쁩니다']",,2,3,2,3,0,2,0,0
Parakho,2022.02.19,2321774,1,0, 179cm, 84kg,L,['팔이 약간 짧은거빼곤 두께도 있고 디자인도 이쁩니다. 할인할때 잘 산거같네요'],,2,2,2,1,0,2,0,0
