userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
2287,2022.03.16,2398392,1,0, 180cm, 69kg,M,['바지 옆라인에 지퍼가있어서 여름에 입어도 시원하겠어요'],,0,2,2,2,3,0,0,0,0
쪼끔모꾸,2022.03.16,2224174,1,0, 174cm, 72kg,48,['이런 데님은 처음이라 기장이 너무길어서 수선해야겠습니다'],,0,2,2,2,2,0,0,0,0
멤버_71c9069595ad,2022.03.16,2340109,0,1, 167cm, 63kg,OS,"['바지 통이 엄청~~ 널널하니 편하고 좋아요!', <br/>, '글고 생각보다 바지가 굉장히 얇아서 초여름에도 입을 수 있을 거 같아요! 엄청 힙하고 이뻐요']",,0,2,2,2,3,0,0,0,0
졸려졸려졸려워,2022.03.16,2326654,1,0, 178cm, 72kg,밝은회색(실버)/078,['가격대비 만족스러운 제품입니다. 얇아서 여름에도 입을수 있어요'],https://image.msscdn.net/data/estimate/2326654_0/gallery_6230abd4d00b1.jpg.view,1,2,2,2,2,0,0,0,0
졸려졸려졸려워,2022.03.16,2326654,1,0, 178cm, 72kg,밝은회색(실버)/078,['가격대비 만족스러운 제품입니다. 얇아서 여름에도 입을수 있어요'],,0,2,2,2,2,0,0,0,0
복돌시,2022.03.16,1749104,1,0, 185cm, 90kg,34,['무텐다드 슬랙스 한 번 구매한 이후로 그냥 믿고 구매합니다. 자기한테 맞는 사이즈만 찾으면 진짜 이것보다 좋은 게 있을까 싶네요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_623086c2a4dfa.jpg.view,1,2,2,2,2,0,0,0,0
횡성,2022.03.15,1749104,1,0, 181cm, 85kg,42,['크기가 쫌 큰데 이뻐용 허벅지 사이즈 있는 편인데 아주 커서 좋아요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_622f18e82c5d3.jpg.view,1,1,2,1,2,0,0,0,0
멤버_e56bfe92fbc3,2022.03.15,1749104,1,0, 168cm, 70kg,30,"['딱 찾던 슈버 와이드 슬렉스입니다 ㅎㅎ', <br/>, '길이가 좀 길어서 수선하고 잘입겠습니다!']",https://image.msscdn.net/data/estimate/1749104_0/gallery_622ece7ef3950.jpg.view,1,2,3,1,3,0,0,0,0
뚜냑냑,2022.03.14,1749104,1,0, 177cm, 60kg,27,['무난합니다 와이드해서 좋읍니다애요 킁캉콩켱캬에'],https://image.msscdn.net/data/estimate/1749104_0/gallery_622d88374e9cb.jpg.view,1,2,2,2,2,0,0,0,0
1012화이팅,2022.03.12,1749104,1,0, 173cm, 68kg,30,['너무 이쁘고 조아영 ㅎㅎ 색깔 별로 다있는데 제일 맘에 드네요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_622af1d358413.jpg.view,1,2,2,2,2,0,0,0,0
우ㄱㅏ,2022.03.11,1749104,1,0, 185cm, 95kg,34,['평소 맞는바지가 많이 없어서 이런핏 슬랙스 찾고있었는데 딱맞아서 너무 좋아요 ㅎ'],https://image.msscdn.net/data/estimate/1749104_0/gallery_622a895b1910b.jpg.view,1,2,2,2,2,0,0,0,0
모자란가지처럼취미없는나비,2022.03.09,1749104,1,0, 178cm, 62kg,29,['지금까지 입어본 와이드 슬렉스 중 최고로 좋아요..재구매 또 하고싶어요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_6227097ab2763.jpg.view,1,2,2,2,2,0,0,0,0
컬렉션B,2022.03.08,1749104,1,0, 178cm, 74kg,31,"['블랙구매후 그레이 추가 구매했어요^^', <br/>, '배송이 당일배송으로 왔고 만족합니다.', <br/>, '허리는 개체마다 차이가 조금? 나는것 같네요', <br/>, '블랙은 딱맞았는데 그레이는 조금 여유있네요.', <br/>, '한사이즈 작게 사시는걸 추천합니다. 배바지시에', <br/>, '그냥입기에는 2사이즈 다운해도 될듯해요!']",https://image.msscdn.net/data/estimate/1749104_0/gallery_622594b4039c9.jpg.view,1,1,2,1,3,0,0,0,0
